GENE_NAME	human	human	cow	cow	cow	marmoset	marmoset	dog	armadillo	gorilla	gorilla	musMusculus	musMusculus	musMusculus	musMusculus	musMusculus	musMusculus	musSpretus	musSpretus	musSpretus	musCaroli	musCaroli	musCaroli	musCaroli	opossum	opossum	opossum	ferret	rabbit	chimp	chimp	bonobo	bonobo	orangutan	orangutan
OXA1L	68.07	61.74	42.14	51.45	49.49	43.07	33.35	34.57	26.73	60.98	43.05	24.38	32.84	28.62	29.01	31.25	20.76	31.51	34.33	30.54	19.59	23.68	32.42	38.87	83.39	100.78	50.22	28.11	55.84	59.32	97.42	58.07	55.68	34.09	39.56
SLC7A7	2.73	1.93	15.4	16.27	14.89	22.7	66.38	0.73	1.12	18.79	6.03	3.72	4.63	2.27	2.87	1.41	2.92	3.19	1.84	2.21	1.07	1.12	0.72	0.83	3.78	5.6	4.82	9.04	6.96	2.02	11	1.65	7.9	9.25	7.34
CDK13	7.3	5.64	6.47	7.13	7.49	10.71	7.54	8.03	3.83	6.15	5.57	6.16	8.26	7.98	7.97	6.27	4.2	3.95	3.52	3.44	3.05	3.45	3.25	4.49	7.19	12.28	8.86	11.09	14.6	5.31	4.96	4.99	4.75	7.24	3.74
CNOT8	10.12	6.68	11.68	12.81	10.2	15.43	17	17.4	4.52	9.83	6.08	39.18	27.71	25.24	42.37	34.69	30.17	31.54	11.46	20.51	7.96	7.38	6	5.3	11.12	10.23	10.11	18.52	18.15	5.54	8.01	8.52	10.13	3.06	4.75
GRIA1	0	0	0	0.03	0	0.06	0.1	0	0.04	0.12	0.05	0	0.24	0.12	0.12	0.02	0.01	0	0	0	0.02	0.01	0	0	0.1	0.09	0.1	0	0.04	0.3	0.02	1.74	0.35	0	0
LRGUK	0.05	0.07	0	0	0	0.03	0	0.83	0.05	0.03	0.19	0	0	0	0	0	0	0.02	0	0	0.03	0.08	0	0	0	0	0	0.04	0.63	0	0.3	0.11	0.15	0.03	0.08
SETD9	4.59	1.93	5.31	3.71	3.44	10.11	10.83	3.13	4.49	0.91	1.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.46	2.4	1.9	2.35	3.62	1.95	2.8	1.5	2.23	2.86	1.73
MIER3	1.93	1.09	2.66	4.62	2.52	5.45	3.85	4.08	0.81	3.15	2.69	3.97	3.65	5.13	5.88	2.74	4.29	2.25	2.17	2.93	0.98	1.32	1.06	1.38	1.65	2.48	3.94	9.88	8.37	2	2.3	3.07	1.78	2.63	1.93
NUP205	4	3.29	3.19	4.32	3.3	2.9	1.72	3.03	2.52	3.51	2.45	2.09	3.89	3.77	3.35	2.88	1.69	2.32	2.68	2.55	2.08	2.07	2.04	1.77	1.67	1.92	4.63	9.36	6.42	2	3.83	2.62	1.91	2.75	3.33
ZKSCAN2	0.75	0.43	0	0.46	0.39	0.82	0.32	1.24	0.33	0.59	0.57	0	0	0.08	0.03	0.02	0.07	0.05	0.06	0.03	0.41	0.59	0.47	0.48	0.29	0.17	0.11	0.1	0	0.88	1.32	0.54	0.62	0.6	0.34
PIK3AP1	34	9.49	26.68	36.41	32.36	14.86	9.85	3.31	18.02	11.35	12.73	32.36	60.27	51.78	55.56	28.44	18.52	12.53	10.7	16.85	7.37	6.99	9.44	8.92	6.06	9.63	15.13	20.63	26.6	25.77	65.73	12.39	14.21	13.26	11.34
VSIG4	6.03	4.95	5.09	4.68	10.1	31.29	12.32	7.9	10.42	5.61	7.65	19.09	20.03	30	14.08	11.47	7.91	17.85	12.3	12.74	8.66	8.36	9.29	8.58	96.59	80.96	78.49	303.99	40.35	2.88	39.72	0.96	16.77	53.5	6.26
PDIA4	116.73	55.94	274.49	293.73	356.4	210.06	189.09	305.46	127.66	78.93	199.37	58.52	141.29	159.31	130.72	129.2	92.83	119.64	57.13	95.08	83.1	93.85	96.4	90.93	45.2	59.5	80.49	579.57	224.4	231.64	177.28	183.69	228.12	NA	NA
KDM8	210.6	23.59	2.81	1.18	3.28	1.57	1.09	0.52	2.66	2.76	5.36	0.36	2.35	1.84	1.92	2.68	0.56	0.61	0.45	0.65	0.75	0.92	0.62	0.37	1.51	2.21	3.49	7.4	1.53	11.8	3.65	4.54	4.51	5.06	4.51
PDZD9	0.07	0.1	0.13	0.93	0.37	0.31	0.21	0	0	0.06	0.08	0.1	0.23	0.17	0.73	0.27	0.43	0.34	0.1	0.15	0	0	0.11	0	0	0.16	0.17	0	0	0	0.06	0.28	0	0	0
OTOA	0.2	0.16	0.02	0.05	0.07	0.03	0.03	0.14	0	0	0.03	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.07	0.04	0.07	0.2	0.05	0.29	0.07	0.05
KCTD18	3.85	2.24	5.41	2.95	2.63	0.71	0.62	1.54	0.62	4.69	4.95	4.23	2.76	4.37	2.86	3.14	1.9	3.3	3.31	4.72	1.51	1.33	1.41	0.93	2.32	2.71	6.65	4.56	5.44	3.35	4.53	4.32	2.94	3.68	1.65
FAM126B	2.09	1.28	1.41	3	2.26	5.91	5.93	10.99	1.79	2.47	1.8	5.5	7.38	8.46	5.63	2.33	3.79	1.9	0.83	0.92	1.81	1.05	0.84	0.8	4.18	5.33	5.08	9.76	12.05	2.3	1.06	1.32	1.22	1.73	0.95
SLC9A7	2.31	1.33	0.08	0.32	0.65	0.29	0.18	0.47	0.75	0.33	0.71	1.09	1.41	1.73	0.24	0.17	0.12	1.7	1.68	1.18	0.08	0.18	0.16	0.47	0.18	0.93	1.55	7.76	1.45	2.28	1.52	1.07	0.59	1.83	1.26
ALS2CR12	0.99	0.23	0	0.06	0	0.22	0.07	0	0	0.56	0.43	0.08	0.23	0.04	0.04	0.1	0.01	0.24	0.26	0.12	0	0	0	0	0	0.12	0.07	0.16	0.05	0.31	0.1	0.58	0.6	0	0.09
FZD7	0.1	0.19	1.48	0.98	1.91	0.67	0.66	3.74	1.93	2.24	1.96	4.24	5.76	7.72	6.64	6.79	4.86	14.83	8.65	8.8	2.55	2.19	2.41	2.41	13.28	9.06	6.15	6.7	62.73	2.6	1.65	2.06	0.76	12.79	8.49
SPAG17	0.11	0.13	0.05	0.08	0.03	0	0.01	0.13	0.01	0.01	0	0.01	0.48	0.02	0.03	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0.21	0.06	0.02	0.12	0.03	0.01	0.02	0.01
DEPTOR	8.73	5.28	5.79	3.75	6.17	12.12	6.19	17.16	5.52	2.46	2.15	26.46	40.77	48.71	39.84	46.16	27.33	12.76	12.07	10.41	12.27	11.74	6.48	9.55	3.51	3.29	1.57	2.64	12.85	8.09	0.95	3.65	4.41	8.36	3.55
RNF20	5.6	3.98	16.41	14.32	15.12	19.72	11.01	6.53	5.51	8.24	7.39	10.99	13.3	15.94	14.81	11.19	6.91	5.21	3.25	4.64	2.28	2.04	2.11	2.34	4.74	8.46	8.01	28.48	23.62	8.29	9.95	6.76	6.61	13.45	7.71
PPARGC1B	1.84	0.42	0.2	0.52	0.69	1.74	0.35	1.55	0.62	0.03	0.24	7.03	3.73	3.48	5.81	7.06	2.54	0.75	1.1	0.6	2.16	0.78	2.59	3.58	3.95	10.01	2.95	5.31	2.22	1.29	0.89	0.94	0.36	1.39	0.38
FOXJ2	2.95	1.77	4.63	8.64	7.17	6.76	3.93	3.07	4.01	2.51	1.98	4.43	3.88	4.62	3.14	3.58	1.33	3.11	5.07	2.68	1.75	1.98	3.31	3.13	5.32	8.29	4.35	8.65	6.16	3.51	5.58	3.19	2.91	3.71	2.93
ELMO1	9	7.61	13.68	17.24	15.48	15.07	8.35	8.6	7.59	7.17	3.78	0.99	1.02	1.21	0.98	0.67	0.38	1.79	2.42	1.08	2.48	3.95	3.44	3.14	3.33	2.99	1.3	5.76	28.57	10.44	5.25	9.34	5.5	11.22	5.84
SLC26A2	0.42	0.23	0.56	1.3	0.85	0.18	0.07	0.37	2.24	0.23	0.38	1.35	1.4	1.93	1.76	0.96	0.7	0.7	0.48	0.55	0.37	0.4	0.27	0.26	1.86	2.27	3.83	6.62	0.77	1.07	0.97	1.21	1.33	1.1	1.07
LSM11	0.49	0.48	0.18	0.6	0.57	0.39	0.27	NA	0.09	1.25	0.87	0.62	0.96	0.68	0.87	0.85	0.65	0.93	0.56	1.63	1.02	1.09	1.32	0.97	0.66	0.73	0.43	2.56	1.16	6.92	5.84	4.04	4.98	1	2.08
MED7	1.63	2.21	18.6	14.01	10.2	7.03	10.15	8.09	2.1	4.63	3.01	10.67	13.56	13.09	11.27	9.54	9.9	15.6	8.48	12.51	7.81	11.34	7.79	9.99	3.52	5.93	8.22	NA	17.89	1.96	4.6	6.29	3.44	5.68	4.32
SLC24A2	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0.02	0	0.05	0	0	0	0	0	0	0	0	0	0.07	0.25	0.07	0.12	0.02	0.39	0.24	0.48	0.31	0	0
TRIM42	0	0	0	0.08	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.43	0	0	0	0	0
PXYLP1	1.7	0.88	0.89	0.9	1.14	15.03	5.6	8.46	11.82	1.41	1.9	4.28	3.26	3.25	4.77	3.43	5.05	7.29	4.26	5.58	5.99	6	6.12	9	1.17	0.57	3.63	4.96	4.61	2.61	2.41	1.5	1.15	1.06	1.43
ADCY8	0.01	0	0.13	0	0.04	0	0.01	0	0.16	0.01	0	0	0.02	0.02	0	0.01	0	0	0	0	0.06	0.02	0.06	0.12	0	0	0.01	0	1.27	0	0	0.12	0	0	0
PDE4A	1.17	0.74	3.34	4.31	4.31	7.7	2.87	0.85	NA	1.05	2.05	2.01	2.62	2.52	2.63	1.59	1.04	1.65	1.74	1.23	0.22	0.28	0.41	0.2	0.34	0.51	0.25	3.36	7.46	1.31	3.09	2	2.16	2.26	1.63
RASA2	0.44	0.46	0.89	1.19	0.75	1.37	0.53	1.98	1.19	1.52	1.15	0.54	0.73	0.98	0.63	0.55	0.67	0.46	0.4	0.63	0.2	0.5	0.18	0.27	0.71	1.99	1.61	4.42	2.9	1.13	1.08	1.23	0.83	1.51	1.43
RMND1	7.98	8.98	9.55	6.18	4.73	13.51	13.3	19.74	12.68	6	6.16	28.86	21.17	29.1	27.12	30.36	21.95	32.41	58.67	44.14	9.05	12.82	13.49	15.65	9.01	10.97	22.55	10.94	19.49	4.59	3.89	11.83	8.73	12.37	6.37
SLA	1.3	1.6	6.45	6.03	5.56	4.37	1.03	0.69	1.97	3.49	2.1	3.34	1.95	1.71	0.94	1	0.53	0.67	0.19	0.55	0.28	0.52	0.43	0.26	1.81	2.15	1.52	21.2	1.48	0.96	4.72	2.91	6.42	5.8	4.8
RAB39B	0.04	0.08	0.09	0	0.1	0.47	0.18	0	0	0.12	0	0	0	0	0	0.01	0	0.07	0	0.06	0	0	0	0	3.51	7.81	2.54	1.52	0	0.07	0.06	0.14	0.06	0.11	0.15
CLIC2	0.46	1.01	5.99	4.27	1.97	2.47	1.35	0.4	1.39	2.59	1.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.29	19.87	17.03	8.39	2.79	1.01	1.83	1.94	2.67	4.69	2.65
MICU3	2.4	0.82	7.09	4.64	3.14	1.84	2.06	3.79	4.83	2.02	0.83	0.49	1.08	1.12	1.28	0.97	1.46	0.39	0.28	1.05	0.99	1.26	1.21	1.06	4.98	4.34	4.82	2.69	2.44	2.99	0.86	2.76	1.53	2.15	1.09
GRIP1	0.69	0	0.14	0.12	0.27	0.05	0.16	0.27	0	0.01	0.01	0.08	0.21	0.02	0.11	0.06	0.04	0	0.04	0	0.04	0.08	0	0.07	0.05	0.05	0.06	0.28	0.05	0.02	0.04	0.12	0.07	9.64	5.74
GCFC2	7.07	8.69	0.67	0.73	0.78	11.82	9.36	1.52	1.94	3.88	2.37	0.78	1.44	1.88	2.96	1.56	0.77	0.93	0.91	1.54	0.63	0.53	1.01	0.6	5.58	5.62	2.57	2.75	0.52	2.78	1.77	5.12	6.28	6.54	1.41
PPP2R5A	11.36	10.44	85.05	74.25	42.21	62.41	57.21	115.45	21.33	26.8	19.69	49.75	60.36	75.3	90.27	88.79	77.29	60.87	40.06	60.26	29.67	42.77	24.82	32.38	30.39	39.01	125.19	130.51	43.07	6.81	8.32	18.68	10.98	24.59	14.93
VPS37A	17.44	5.37	13.47	7.27	7.4	4.07	3.8	16.3	9.8	4.78	3.09	6.46	8.63	9.03	9.62	8.11	6.67	8.68	5.87	7.44	2.47	3.08	1.58	2.43	37	59.5	44.02	17.77	2.27	3.49	2.62	3.52	4.03	7.42	11.72
CARNMT1	8.79	2.21	4.17	3.74	2.55	4.55	2.51	5.19	1.95	1.93	2.49	3.84	5.38	4.03	3.69	6.33	8.84	3.09	1.86	2.24	1.13	0.86	0.48	1.2	3.31	2.82	7.91	18.37	20.31	6.67	2.84	3.48	1.25	3.57	2.85
MCU	3.49	2.65	3.31	4.99	4.75	6	2.83	6.14	14.93	5.85	4.52	5.74	6.5	6.07	8.75	9.64	8.14	8.89	5.1	7.83	15.17	17.1	21.95	22.02	6.55	8.12	15.4	5.18	7.73	3.71	7.62	4.14	5.67	3.64	5.85
ELMSAN1	4.09	1.56	5.26	5.4	9.59	2.85	0.68	3.03	13.45	2.46	2.19	2.94	3.86	3.12	3.88	3.45	1.17	2.31	4.18	2.8	2.02	2.33	3.26	3.64	3.33	4.35	4.43	11.41	7.64	12.52	11.98	2.28	1.3	7.63	7.05
CFAP70	0.69	1.58	NA	NA	NA	1.96	1.36	0.17	4.37	0.42	0.41	0	0.07	0	0.03	0.05	0	0	0.15	0.06	0	0	0.04	0.04	0.09	0	0.17	1.28	0.13	0.84	0.42	0.59	0.37	6.38	5.59
GNA14	1.05	1.83	19.47	19.83	7.1	0.19	0.18	1.32	0.23	6.99	1.82	1.42	0.28	1.64	3.52	1.37	6.2	14.22	9.88	10.47	0.42	0.3	0.43	0.35	0.11	0.61	0.5	0.15	0.56	2.83	2.08	2.43	2.42	4.04	4.45
FAM161B	0.51	0.49	1.73	3.01	1.63	4.3	2.52	1.28	1.09	1.03	0.86	0.24	0.33	0.62	0.61	0.32	0.19	0.24	0.46	0.22	0.29	0.46	0.41	0.22	0.32	0.46	0.92	3.18	0.81	0.43	0.2	0.59	0.26	NA	NA
WIF1	0	0	6.73	1.39	0.36	1.03	0.8	0.29	3.63	0.05	0	3.73	0.05	0.03	0.24	0.05	0.05	0	0.09	0	15.08	11.33	20.93	19.47	0.28	0	0	0.14	1.27	0	0	1.28	0	0	0.1
GPR61	0.4	0.51	0	0	0.05	0	0.03	0	NA	0.02	0.23	0	0.04	0	0.02	0.01	0.01	0.02	0.05	0.03	0.03	0	0.05	0	0	0	0.04	0.11	NA	0.2	0.03	0.04	0	0.1	0
MMP16	0	0	0.08	0.03	0.03	0.01	0.01	0.04	0.29	0.16	0.1	0.96	0.55	2.48	0.09	0.02	0	0	0.54	0	0.09	0	0.02	0	0.19	0.51	0.11	0.02	0.6	0.02	0.04	0.12	0.02	0.04	0.06
KCNMA1	7.01	3.72	7.77	9.62	10.84	11.07	7.63	2.49	0.33	0.2	0.66	0.02	0.08	0.2	0.06	0.01	0	0	0	0	0	0	0.07	0	0.11	0.11	0.15	1.6	1.47	NA	NA	NA	NA	6.13	1.83
BATF	1.27	0.68	0.26	0.29	1.45	2.58	1.94	2.1	1.57	2.47	1.02	1.07	0.52	0.75	0.71	0.38	0.38	0.2	0.14	0.41	0.4	0.08	0.07	0	1.43	3.52	1.42	22.22	0.98	1.09	4.51	0.98	5.67	4.71	5.52
DCK	0.54	0.81	1.74	0.8	0.62	1.36	0.68	3.82	0.26	2.39	1.76	1.94	0.89	1.6	2.09	1.78	1.04	1.66	0.83	1.44	1.05	1.05	1.02	0.58	0.19	0.32	0.36	3.77	0.84	1.11	1.48	1.25	0.99	1.2	1.44
ADAMTS3	0.01	0	0.49	0.69	0.35	0.3	0.48	NA	0.06	0.3	0.03	0.16	0.08	0.11	0.07	0.03	0.04	0.1	0.04	0.08	0.05	0.11	0.04	0	0.52	0.61	0.4	2.08	1.84	0.06	0.03	0.02	0.12	0.38	0.4
ALX3	0	0	0	0	0	0	0	0	0.04	0.63	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0.17	0.65	0.68	0.32	0	0.1
DPY19L4	3.8	2.6	2.3	1.54	1.11	4.53	2.43	3.5	2.46	2.41	1.63	2.55	2.39	3.32	2.95	1.9	2.34	1.84	2.3	1.43	1.01	1.28	0.71	0.96	2.14	2.55	6.93	8.91	5.16	3.75	2.4	3.37	2.81	3.67	1.77
NDUFAF6	11.02	5.69	17.54	35.49	32.73	2.16	2.74	1.98	13.94	3.11	1.97	14.04	14.59	18.29	10.84	18.18	10	6.15	3.91	5.48	11.15	14.19	9.08	11.72	4.49	14.35	13.95	9.5	38.93	1.65	12.29	6.53	2.97	2.59	2.43
PPEF2	0.47	0.7	0.17	0.41	0.51	0.41	0.13	0.04	0.2	0.03	0.03	0.12	0	0.05	0	0.02	0.02	0	0	0	0	0	0	0	7.58	5.16	13.95	0.95	0	1.81	1.79	1.23	1.49	0	0.05
CFAP161	0.09	0	0	0.31	0.12	0.2	0.14	0	0	0.25	0.18	0	0.45	0	0	0.02	0	0	0	0	0	0	0	0	0	0.03	0.1	0.27	NA	0	0.09	0	0.09	0.16	0.35
ADAMTSL3	4.89	3.79	0.05	0.38	0.09	1.37	0.48	0.56	0.75	1.48	0.76	0.14	0.27	0.07	0.03	0.03	0	0.05	0.24	0.5	0.2	0.21	0.3	0.16	0.11	0.04	0.13	1.75	0.14	2.19	3.58	1.74	1.45	2.09	2.01
ART3	0.89	0.63	1.32	1.45	0.66	1.24	1.67	0.59	21.9	1.28	3.61	3.3	2.77	3.67	1.72	2.02	1.17	0	0.21	0.2	5.44	5.04	5.74	5.66	0.08	0.15	0.37	2.98	0.47	4.05	5.59	4.17	11.78	0.11	0.08
SLC28A1	89.55	21.83	0.09	0.03	0.1	0.32	0.09	0	3.89	11.04	14.07	0.09	0	0.22	0.02	0.14	0.01	0.04	0	0.1	3.73	4.43	5.97	2	0.08	0.29	0.08	1.07	7.68	47.28	33.1	11.61	29.71	0.14	0.46
WHAMM	2.14	1.25	14.68	10.67	12.39	12.86	10.05	4	15.98	4.33	4.6	13.35	25.03	18.2	37.39	32.67	23.81	10.17	7.96	7.98	7.66	6.47	7.6	8.55	1.84	2.94	3.69	15.97	5.43	9.52	9.1	6.64	6.8	5.04	2.9
TIE1	15.26	5.52	5.72	6.27	5.36	14.8	7.38	1.42	NA	15.88	5.44	7.57	10.36	7.96	8.76	5.72	3.28	3.81	3.59	3.22	2.78	2.7	3.79	2.75	11.89	14.63	4.02	3.59	7.69	11.03	4.65	7.88	15.97	7.1	12.85
N6AMT1	2.23	1.68	1.52	1.52	2.51	2.16	1.6	1.03	1.71	3.31	1.72	3.15	5.19	5.49	6.2	6.55	3.87	3.66	1.92	2.91	1.93	1.73	1.51	2.88	1.62	3.04	1.17	4.82	3.53	2.41	0.85	3.28	6.08	0.59	0.33
RWDD2B	10.86	9.4	16.63	17.14	10.6	11.35	12.19	3.63	1.54	9.73	8.9	4.95	4.95	4.8	7.15	6.13	4.23	3.1	1.36	1.59	5.29	4.73	5.21	6.52	2.08	2.27	6.33	5.22	6.68	4.13	5.93	7.88	6.63	3.76	1.83
BACH1	3.01	2.09	5.41	9.08	8.34	10.15	9.15	5.81	11.8	5.54	3.24	16.71	23.44	25.22	21.66	10.96	9.55	3.11	3.11	4.06	7.46	7.18	4.22	4.44	5.78	8.94	9.57	10.36	17.53	2.47	11.25	2.64	3.72	4.39	6.42
CLDN17	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	NA	NA
CLDN8	0	0	0	0	0	NA	NA	0.1	NA	0.03	0	0.06	0	0.34	0.1	0.08	0.02	0	0	0	0	0	0	0.06	0	0	0	0	0.09	0	0	0	0	0	0
TIAM1	0.71	1.95	0.15	0.2	0.33	1.76	1.47	0.15	0.26	2.35	1.2	0.59	0.53	0.63	1.36	0.32	0.68	0.02	0.5	0.14	0.65	0.27	0.63	2	0.02	0	0.05	0.66	0.43	1.76	1.74	4.22	3.94	1.71	1.21
SCAF4	10.35	3.61	11.24	10.15	10.41	11.77	5.72	6.47	7.55	5.66	7.34	8.12	11.83	12.84	8.52	8.61	3.12	4.85	12.86	7.27	5.31	4.37	7.97	7.73	7.68	12.55	10.09	15.84	15.59	9.64	11.67	5.91	6.54	10.56	6.93
RPGR	0.65	1.23	0	0	0.42	0.84	1.11	3.11	0.68	NA	NA	0.58	0.57	0.66	0.74	0.81	0.59	1.01	0.84	1.04	0.29	0.41	0.28	0.47	1.6	1.38	2.27	0.41	0.68	NA	NA	NA	NA	0.71	1.04
ANKRD9	34.75	6.89	2.51	0.27	23.16	11.4	13.81	10.69	NA	8.96	11.42	3.19	6.19	2.46	5.07	2.74	1.68	7.37	7.11	9.4	3.44	4.03	3.36	2.42	9.22	11.75	8.24	NA	NA	21.34	16.13	3.96	8.42	NA	NA
SFR1	0.52	0.48	3.67	2.92	1.93	1.64	0.77	0.57	2.36	0.49	0.58	21.78	26.23	32.85	35.97	22.05	29.18	11.1	19.51	14.52	6.97	6.03	18	21.22	1.65	2.55	12.02	5.54	1.58	3.94	4.14	2.76	2.89	2.08	3.26
SORCS3	0	0.01	0	0.07	0.03	0.01	0.03	0.03	0	0.01	0	0	0.02	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0.02	0	NA	NA	NA	NA	0	0
TDRD9	0.03	0.07	0	0.06	0.08	0.11	0.05	0.03	0.11	0.31	0.04	0.04	0.09	0	0.02	0	0	0.01	0	0	0.06	0	0	0.03	0	0	0.2	0.07	0.52	0	0.06	0.11	0.71	0.15	0.07
FGF18	0.15	0.02	0	0.08	0.02	0	0	0	0.01	0.16	0.1	0	0	0	0	0.03	0.06	0	0	0	0	0	0.14	0.15	0.05	0.19	0.03	0.07	0	0	0.28	0.41	0	0.03	0.3
PCDH1	13.17	6.35	22.11	30.9	36.99	43.97	18.9	14.28	7.23	1.14	5.32	65.65	65.55	48.9	38.87	65.77	16.85	47.05	58.16	41.11	18.46	16.71	35.69	30.21	43.93	55.35	29.95	17.33	25.84	6.56	12.39	7.34	3.12	19.46	5.6
SH3RF2	5.29	3.87	5.05	11.31	21.43	38.22	1.58	0.26	0.15	2.83	12.84	0.01	0.31	0.1	0.07	0.04	0.03	0	0	0	0	0	0	0	0.25	0.47	0.57	1.7	0.32	31.64	2.29	6.47	6.99	4.24	0.91
GDF6	0.12	0.06	0	0	0	0	0.2	0.15	0	0.42	0.26	0.06	0.3	0.47	0.05	0.16	0.06	0.02	0	0.14	0	0	0	0	0	0.07	0	1.66	0.91	0.14	0	0.89	0.16	0	0
MTERF3	5.11	5.1	11.84	10.41	10.09	7.55	6.97	9.19	4.7	7.11	5.11	11.94	13.87	13.75	20.36	13.45	13.23	9.12	51.88	8.62	5.6	7.46	7.15	7.33	8.23	17.29	36.83	10.01	8.63	2.04	5.88	9.77	5.35	6.32	6.52
PTDSS1	45.73	18.67	33.69	36.87	39.08	26.32	32.84	13.2	11.95	9.03	7.65	21.11	15.91	31.48	19.38	19.08	15.15	29.53	9.64	14.5	7.01	7.24	6.1	6.9	8.68	10.7	11.11	18.68	4.98	18.06	33.32	21.39	19.17	NA	NA
PPP2R2B	0.27	0.47	45.39	55.83	22.27	0.11	0.21	0.48	0.05	0.83	0.3	0	0.63	0.19	0.12	0.02	0.02	0	0	0.04	0.42	0.36	0.16	0	0	0.11	0.02	0.49	9.22	0.49	0.31	1.39	0.53	2.85	6.54
KCNS2	0	0	0	0	0	0.02	0.03	0	0	0.02	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.1	0.29
FAM122C	7.28	2.54	NA	NA	NA	0.26	0.24	0	0.12	0.86	0.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.32	1.7	3.11	0.67	0.04	0	0.15	0.11	0.96	0.22	0.8
KDM4A	8.89	4.92	17.98	23.33	27.33	15.81	15.45	11.6	3.95	6.98	8.77	12.27	16.48	12.01	13.19	14.62	4.69	7.85	6.02	7.96	6.87	6.36	11.08	10.66	7.96	9.75	4.98	22.15	26.41	5.62	7.11	3.74	3.7	8.68	5.17
SUPV3L1	17.46	11.76	5.6	4.26	5.04	20.11	18.98	3.97	6	6.85	4.23	9.88	12.83	10.28	14.65	12.14	9.21	13.02	9.9	8.79	11.5	9.64	11.24	13.09	8.53	11.72	7.41	7.34	9.68	5.36	9.66	8.41	7.6	12.15	16.81
FBXO43	0.3	0.23	0	0	0.01	0	0	0	0	0.07	0.05	0.05	0.03	0	0.01	0.03	0.01	0	0	0.02	0.05	0.12	0.07	0.08	0	0.03	0.05	0	NA	0	0.14	0.03	0.08	0	0
TYSND1	8.98	4.5	3.07	0.95	14.31	11.91	12.1	62.72	19.21	8.66	11.55	36.82	51.11	29.82	38.15	40.03	18.56	19	15.55	18.81	21.18	26.68	26.12	22.19	11.73	13.64	12.58	13.07	10.65	16.43	10.52	8.03	7.44	9.81	7.08
CD109	0.12	0.09	0.28	0.34	0.09	0.88	1	0.12	0.17	0.86	0.47	0.02	0.02	0	0	0	0	0.01	0.02	0	0	0	0	0	0.06	0.18	0.07	0.29	0.29	0.43	0.38	0.28	0.07	0.27	0.47
LRFN2	0	0.01	0	0.08	0	0	0.01	0.07	0	0	0	0	0	0.02	0	0	0	0.02	0.13	0.24	0.03	0.1	0.13	0.05	0	0	0	0	0	0	0	0	0	0	0.09
NODAL	0	0	0	0	0	0	0.02	0	0	0	0	0.12	0.17	0.07	0.43	0.51	0.1	0.57	0.32	0.69	0.23	0.11	0.13	0.35	0.09	0.09	0	0	0	0	0	0.07	0.14	0	0
NFYC	27.07	14.33	21.56	16.59	33.37	0	0	10.84	18	24.76	22.69	14.01	19.26	16.28	17.15	18.77	12.88	17.71	17.25	14.63	10.53	14.59	19.72	12.33	31.73	41.77	26.27	17.08	15.25	28.06	18.69	16.21	19.15	22.7	18.37
ZFAND3	41.76	17.08	13.45	19.72	21.4	20.13	12.13	33.3	11.12	19.21	26.04	41.81	44.08	43.59	37.19	40.49	26.13	35.77	32.48	30.94	28.79	23.73	29.6	35.31	9.87	14.87	10.91	36.66	40.07	39.13	44.42	18.13	16.31	22.56	15.34
NPTN	19.68	17.92	30.54	35.89	27.45	44.75	27.58	3.36	38.34	17.32	10.45	40.7	40.83	48.27	38.95	27.21	21.63	31.17	52.59	29.98	44.19	44.59	110.38	64.43	12.29	15.3	19.17	58.38	36.25	16	15.2	14.13	14.93	12.42	13.38
KAT6B	1.64	1.03	4.86	5.7	6.21	3.55	1.66	2.94	2.37	2.44	2.49	3.96	4.48	6.88	5.07	4.25	2.04	1.8	5.45	2.41	6.79	7.26	7.67	11.01	1.59	1.85	1.49	5.87	2.38	2.53	2.23	2.73	2.19	2.56	2.13
SAMD8	1.17	0.82	1.5	1.36	0.67	1.22	0.28	2.44	1.33	1.29	0.62	7.62	6.74	9.64	10.77	7.12	7.35	2.48	2.99	3.55	6.87	6.09	3.3	4.36	2.81	4.01	8.32	4.57	1.54	0.82	2.06	1.61	1.59	0.97	1.59
RAB11FIP1	2.49	1.45	1.24	2.12	3.19	2.22	1.31	3.5	2.59	2.88	3.18	3.4	2.65	3.27	2.54	2.61	1.13	1.51	1.97	1.52	0.27	0.25	0.24	0.34	0.46	1.31	0.74	4.54	11.65	3.58	9.72	3.7	3.75	3.59	3.41
